antiguedad,caja_cambios,descripcion,marca_modelo,millas,motor,precio_libra
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X3","60,820 miles",Diesel,"£20,600"
2020 reg,Manual,1.5L M Sport 218i,"BMW, ,2 Series","8,626 miles",Petrol,"£20,600"
2018 reg,Automatic,2L M Sport Shadow Edition 330e,"BMW, ,3 Series","51,991 miles",Plug-in hybrid,"£20,650"
2019 reg,Automatic,2L Sport 20d,"BMW, ,X1","22,356 miles",Diesel,"£20,650"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X1","53,983 miles",Diesel,"£20,700"
2017 reg,Automatic,2L SE 530i,"BMW, ,5 Series","37,500 miles",Petrol,"£20,700"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X3","47,788 miles",Diesel,"£20,700"
2019 reg,Manual,1.5L M Sport 18i,"BMW, ,X2","25,674 miles",Petrol,"£20,750"
2019 reg,Automatic,1.5L SE 18i,"BMW, ,X1","24,730 miles",Petrol,"£20,750"
2017 reg,Automatic,3L M140i,"BMW, ,1 Series","34,530 miles",Petrol,"£20,750"
2017 reg,Automatic,2L xLine 20d,"BMW, ,X1","30,536 miles",Diesel,"£20,800"
2017 reg,Automatic,21.6kWh,"BMW, ,i3","17,380 miles",Electric,"£20,800"
2018 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series","58,350 miles",Diesel,"£20,800"
2016 reg,Automatic,2L xLine 20d,"BMW, ,X3","31,622 miles",Diesel,"£20,800"
2019 reg,Automatic,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","22,870 miles",Petrol,"£20,850"
2019 reg,Automatic,1.5L Luxury 218i,"BMW, ,2 Series Gran Tourer","18,778 miles",Petrol,"£20,900"
2019 reg,Automatic,2L Sport 20i,"BMW, ,X2","37,445 miles",Petrol,"£20,900"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X3","53,005 miles",Diesel,"£20,900"
2018 reg,Automatic,2L xLine 20i,"BMW, ,X1","24,727 miles",Petrol,"£20,900"
2019 reg,Automatic,2L xLine 20i,"BMW, ,X1","27,236 miles",Petrol,"£20,900"
2018 reg,Automatic,2L M Sport 220i,"BMW, ,2 Series","17,905 miles",Petrol,"£21,050"
2016 reg,Automatic,3L M140i,"BMW, ,1 Series","29,951 miles",Petrol,"£21,050"
2019 reg,Automatic,2L M Sport 420i,"BMW, ,4 Series Gran Coupe","25,175 miles",Petrol,"£21,050"
2016 reg,Automatic,3L M Sport 335d,"BMW, ,3 Series Gran Turismo","34,431 miles",Diesel,"£21,150"
2018 reg,Automatic,2L Sport 20d,"BMW, ,X1","14,719 miles",Diesel,"£21,150"
2017 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","64,472 miles",Diesel,"£21,150"
2018 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","60,555 miles",Diesel,"£21,150"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X1","47,536 miles",Petrol,"£21,200"
2016 reg,Automatic,3L M240i,"BMW, ,2 Series","26,951 miles",Petrol,"£21,200"
2018 reg,Automatic,2L SE 520d,"BMW, ,5 Series","24,899 miles",Diesel,"£21,250"
2018 reg,Automatic,0.6L ,"BMW, ,i3","16,008 miles",Plug-in hybrid,"£24,450"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","39,034 miles",Petrol,"£24,450"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","48,726 miles",Petrol,"£24,450"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","47,500 miles",Petrol,"£24,450"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","9,801 miles",Petrol,"£24,450"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","15,350 miles",Petrol,"£24,450"
2020 reg,Manual,1.5L M Sport 218i,"BMW, ,2 Series Gran Coupe","28,533 miles",Petrol,"£24,500"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","31,752 miles",Petrol,"£24,500"
2018 reg,Automatic,3L M240i,"BMW, ,2 Series","25,748 miles",Petrol,"£24,500"
2018 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","28,491 miles",Diesel,"£24,550"
2018 reg,Automatic,2L M Sport 230i,"BMW, ,2 Series","8,601 miles",Petrol,"£24,550"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X2","17,949 miles",Petrol,"£24,600"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","21,679 miles",Petrol,"£24,600"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","22,708 miles",Petrol,"£24,600"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","28,562 miles",Petrol,"£24,650"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X3","28,273 miles",Diesel,"£24,700"
2017 reg,Automatic,3L M240i,"BMW, ,2 Series","22,191 miles",Petrol,"£24,700"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","21,738 miles",Petrol,"£24,700"
2017 reg,Automatic,3L M Sport 35d,"BMW, ,X4","52,033 miles",Diesel,"£24,700"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","11,228 miles",Petrol,"£24,700"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","24,087 miles",Petrol,"£24,700"
2018 reg,Automatic,2L M Sport iPerformance 530e,"BMW, ,5 Series","34,057 miles",Plug-in hybrid,"£24,700"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X2","20,479 miles",Petrol,"£24,750"
2017 reg,Manual,3L M240i,"BMW, ,2 Series","17,280 miles",Petrol,"£24,750"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X2","22,229 miles",Petrol,"£24,800"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","21,627 miles",Petrol,"£24,800"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X2","21,047 miles",Petrol,"£24,900"
2019 reg,Automatic,2L M Sport X 20i,"BMW, ,X2","25,131 miles",Petrol,"£24,950"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","12,654 miles",Petrol,"£24,950"
2018 reg,Automatic,2L M Sport 20i,"BMW, ,X2","17,650 miles",Petrol,"£25,000"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","23,929 miles",Petrol,"£25,000"
2020 reg,Automatic,1.5L M Sport 18i,"BMW, ,X1","32,394 miles",Petrol,"£25,000"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","8,714 miles",Petrol,"£25,000"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","22,608 miles",Petrol,"£25,050"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","31,894 miles",Petrol,"£25,100"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","14,793 miles",Petrol,"£25,200"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","30,533 miles",Petrol,"£25,250"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","34,046 miles",Petrol,"£25,250"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","31,871 miles",Petrol,"£25,250"
2019 reg,Automatic,42.2kWh,"BMW, ,i3","20,917 miles",Electric,"£25,250"
2019 reg,Automatic,2L SE 530e,"BMW, ,5 Series","20,969 miles",Plug-in hybrid,"£25,350"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","26,429 miles",Petrol,"£25,400"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","28,243 miles",Petrol,"£25,400"
2020 reg,Automatic,1.5L M Sport 18i,"BMW, ,X2","24,039 miles",Petrol,"£25,400"
2019 reg,Automatic,2L M Sport X 20i,"BMW, ,X2","14,445 miles",Petrol,"£25,400"
2018 reg,Automatic,2L SE 630i,"BMW, ,6 Series Gran Turismo","34,138 miles",Petrol,"£25,450"
